country_iso_a3,year,n_users,n_edits
AFG,2023,1697,286615
AGO,2023,760,225946
AIA,2023,384,3138
ALB,2023,1137,163727
AND,2023,649,10639
ARE,2023,921,805326
ARG,2023,2623,2298832
ARM,2023,875,357620
ATG,2023,297,4389
AUS,2023,4087,3540682
AUT,2023,9225,3275155
AZE,2023,1301,357016
BDI,2023,235,20818
BEL,2023,6090,3239017
BEN,2023,593,86167
BFA,2023,410,166776
BGD,2023,1563,442761
BGR,2023,1847,700528
BHR,2023,263,86897
BHS,2023,248,22594
BIH,2023,1749,516910
BLR,2023,2665,2060396
BLZ,2023,328,99445
BMU,2023,143,26551
BOL,2023,1052,569410
BRA,2023,8793,6024771
BRB,2023,319,10444
BRN,2023,205,12957
BTN,2023,391,95931
BWA,2023,461,65044
CAF,2023,471,107320
CAN,2023,6345,7094772
CHE,2023,7624,2645092
CHL,2023,1683,885594
CHN,2023,4289,4629622
CIV,2023,667,311363
CMR,2023,752,505855
COD,2023,2247,865399
COG,2023,374,85358
COK,2023,39,407
COL,2023,2504,687483
COM,2023,117,3828
CPV,2023,147,18271
CRI,2023,869,231374
CUB,2023,1226,291998
CYM,2023,287,7730
CYP,2023,674,386280
CZE,2023,5816,2817943
DEU,2023,37807,24986430
DJI,2023,176,7309
DMA,2023,413,4309
DNK,2023,2853,1381043
DOM,2023,657,70506
DZA,2023,1061,4495025
ECU,2023,2571,907679
EGY,2023,2464,601350
ERI,2023,174,59333
ESP,2023,9307,6282540
EST,2023,1204,666458
ETH,2023,2463,834629
FIN,2023,3077,2023824
FJI,2023,272,134452
FLK,2023,147,5500
FRA,2023,23331,16244355
FRO,2023,133,41919
FSM,2023,92,3430
GAB,2023,212,321656
GBR,2023,11204,9686438
GEO,2023,1920,541455
GGY,2023,320,4582
GHA,2023,1232,406426
GIB,2023,323,3859
GIN,2023,596,61836
GMB,2023,293,14937
GNB,2023,248,16812
GNQ,2023,774,185308
GRC,2023,2883,1016231
GRD,2023,290,26161
GRL,2023,346,18427
GTM,2023,892,201668
GUY,2023,346,19787
HND,2023,8636,848046
HRV,2023,3634,740868
HTI,2023,462,16794
HUN,2023,3886,1902464
IDN,2023,4924,4795779
IMN,2023,207,50879
IND,2023,8571,5492612
IOT,2023,42,374
IRL,2023,1610,2087213
IRN,2023,4007,1193068
IRQ,2023,4974,540291
ISL,2023,499,83737
ISR,2023,1433,1840795
ITA,2023,13707,7803855
JAM,2023,449,29404
JEY,2023,316,5574
JOR,2023,568,42104
JPN,2023,4432,6893714
KAZ,2023,1784,1931623
KEN,2023,3998,2064369
KGZ,2023,875,99009
KHM,2023,791,119737
KIR,2023,114,10171
KNA,2023,374,5347
KOR,2023,1431,1313855
KWT,2023,326,90506
LAO,2023,976,60127
LBN,2023,794,376350
LBR,2023,286,40744
LBY,2023,1973,437998
LCA,2023,486,25259
LIE,2023,703,26369
LKA,2023,4161,1152471
LSO,2023,274,130746
LTU,2023,1576,846830
LUX,2023,2237,241831
LVA,2023,1366,1043105
MAR,2023,6066,1349484
MCO,2023,591,13475
MDA,2023,969,256495
MDG,2023,843,413638
MDV,2023,257,16682
MEX,2023,3533,1413862
MHL,2023,31,517
MKD,2023,845,75545
MLI,2023,625,822736
MLT,2023,366,52987
MMR,2023,961,177618
MNE,2023,1165,146025
MNG,2023,905,37323
MOZ,2023,1094,330109
MRT,2023,569,77580
MSR,2023,278,3582
MUS,2023,304,54856
MWI,2023,4086,1360875
MYS,2023,1681,954752
NAM,2023,791,145331
NER,2023,923,292338
NGA,2023,2679,1498588
NIC,2023,663,276874
NIU,2023,19,109
NLD,2023,7511,4958547
NOR,2023,2725,2233947
NPL,2023,2751,1203561
NRU,2023,31,11880
NZL,2023,1271,1459537
OMN,2023,423,93618
PAK,2023,1830,502891
PAN,2023,605,52087
PCN,2023,82,247
PER,2023,1563,940481
PHL,2023,5204,1925209
PLW,2023,39,1126
PNG,2023,264,44584
POL,2023,10415,9067853
PRK,2023,785,363420
PRT,2023,3367,1805562
PRY,2023,770,517938
QAT,2023,506,187260
ROU,2023,2972,1902474
RUS,2023,11885,24204867
RWA,2023,1555,504598
SAU,2023,1217,497983
SDN,2023,1864,743094
SEN,2023,698,566839
SGP,2023,612,207398
SGS,2023,99,558
SHN,2023,82,1366
SLB,2023,61,8558
SLE,2023,385,27412
SLV,2023,4257,444402
SMR,2023,359,9707
SOM,2023,824,918956
SRB,2023,2122,2566701
SSD,2023,759,129631
STP,2023,70,9350
SUR,2023,364,22270
SVK,2023,3456,1974608
SVN,2023,3275,721222
SWE,2023,3746,2667692
SWZ,2023,200,27828
SYC,2023,95,3821
SYR,2023,5471,1426833
TCA,2023,188,3088
TCD,2023,1716,617351
TGO,2023,639,468661
THA,2023,2456,638612
TKL,2023,13,135
TKM,2023,679,30485
TLS,2023,631,245019
TON,2023,99,10102
TTO,2023,559,36207
TUN,2023,606,196887
TUR,2023,10694,4988883
TUV,2023,26,363
TWN,2023,1546,5785752
TZA,2023,3195,2333223
UGA,2023,1558,586786
UKR,2023,5957,16179625
URY,2023,550,170553
USA,2023,31247,40526724
UZB,2023,1120,970982
VAT,2023,413,3386
VCT,2023,291,5859
VEN,2023,934,410172
VGB,2023,337,6324
VNM,2023,1846,877981
VUT,2023,167,22915
WSM,2023,47,1003
XKX,2023,876,75676
YEM,2023,708,408480
ZAF,2023,2425,2835054
ZMB,2023,1518,449103
ZWE,2023,857,133601
